iter	RMSE
0	0.5651015769
1	0.557028525
2	0.5497335315
3	0.5422673225
4	0.5352212097
5	0.5289053925
6	0.5220070173
7	0.5156988678
8	0.5097354611
9	0.5043572577
10	0.4989208435
11	0.4942064416
12	0.4893146054
13	0.4845438847
14	0.4796968563
15	0.4755958995
16	0.4714237446
17	0.4677672134
18	0.4639998296
19	0.4602407434
20	0.4570567923
21	0.4543482733
22	0.4514470697
23	0.4488077304
24	0.4461531115
25	0.4437014107
26	0.4414413013
27	0.4391554951
28	0.43751748
29	0.434843945
30	0.4325747334
31	0.4304337224
32	0.4287188408
33	0.4269268077
34	0.4248796394
35	0.4233969733
36	0.4217278689
37	0.4202431345
38	0.4190584926
39	0.417775547
40	0.4164329932
41	0.4152121185
42	0.4143443266
43	0.4129128419
44	0.4118111456
45	0.4107434462
46	0.4096373002
47	0.4082175923
48	0.407275248
49	0.4062224411
50	0.4057571356
51	0.4047788211
52	0.4036597507
53	0.4029823881
54	0.4019264183
55	0.4011756707
56	0.4004712607
57	0.3999293467
58	0.3994014266
59	0.3989878301
60	0.3984994232
61	0.3978213007
62	0.3971074078
63	0.3964287995
64	0.395948757
65	0.3955919421
66	0.3951577933
67	0.3947618649
68	0.3942567791
69	0.3939399434
70	0.3933170492
71	0.3929351842
72	0.3925117403
73	0.3922256245
74	0.3918932684
75	0.3917101942
76	0.3913854519
77	0.3910578056
78	0.3906077304
79	0.3902296734
80	0.3898617437
81	0.3895046149
82	0.3890692636
83	0.3888077435
84	0.3885754744
85	0.388334298
86	0.3880271906
87	0.3877378705
88	0.3875321247
89	0.3873431456
90	0.3872462964
91	0.3872055804
92	0.3867952847
93	0.3865228918
94	0.3862461809
95	0.3860813274
96	0.3858323518
97	0.3856689855
98	0.3854040279
99	0.3852133029
100	0.385134458
101	0.384992486
102	0.3848560184
103	0.3847320896
104	0.3846007988
105	0.3842734476
106	0.3841598759
107	0.3839558189
108	0.3837578511
109	0.3835854355
110	0.3835327165
111	0.3833849083
112	0.3831514289
113	0.3831071548
114	0.3829678777
115	0.3828923469
116	0.3827595896
117	0.382700154
118	0.3825981535
119	0.3824842464
120	0.3824444232
121	0.3823997366
122	0.3822279692
123	0.3820896768
124	0.3820404687
125	0.3818503489
126	0.3817770396
127	0.3817401019
128	0.3816092141
129	0.3814477921
130	0.3814080041
131	0.3813006938
132	0.3811110061
133	0.3809860436
134	0.3809392603
135	0.3808646396
136	0.3807945304
137	0.380692225
138	0.3806394068
139	0.3805433978
140	0.3804806081
141	0.3804506346
142	0.3803008024
143	0.380235834
144	0.3801765031
145	0.3800670299
146	0.3799940217
147	0.3799680526
148	0.3798779244
149	0.3797913241
150	0.3797356097
151	0.3796854775
152	0.379585795
153	0.3795183943
154	0.3794282505
155	0.3793572048
156	0.3792672994
157	0.3791914472
158	0.3791640002
159	0.3791023872
160	0.3790734826
161	0.3789622125
162	0.3787937285
163	0.3787296481
164	0.3786855109
165	0.3785798091
166	0.3784701401
167	0.3783905087
168	0.3783418261
169	0.3781287821
170	0.3780530686
171	0.3779777238
172	0.3779496096
173	0.3778772668
174	0.3778110742
175	0.3776703172
176	0.3775894211
177	0.377538191
178	0.3774730375
179	0.3774424884
180	0.3774045578
181	0.377381873
182	0.3773157138
183	0.3772895584
184	0.3772187431
185	0.3770949504
186	0.3770425911
187	0.3768514914
188	0.3768396867
189	0.3768134838
190	0.3767882496
191	0.3767769882
192	0.3767326349
193	0.3766678641
194	0.3765410751
195	0.3764574298
196	0.3764011365
197	0.3763741476
198	0.3762262587
199	0.3761893619
200	0.3761581548
201	0.3761150611
202	0.3760600227
203	0.3758966306
204	0.3758589212
205	0.3756707626
206	0.3756482772
207	0.3756262687
208	0.3755894294
209	0.3755607351
210	0.3755525372
211	0.3755292047
212	0.375462046
213	0.3754460979
214	0.3753688062
215	0.3753166831
216	0.3752853632
217	0.3752551617
218	0.3752495545
219	0.3752491792
220	0.3752337222
221	0.3751668943
222	0.3751664131
223	0.3751343114
224	0.3751085762
225	0.3750722331
226	0.3750115911
227	0.3749906403
228	0.3749040738
229	0.3747377789
230	0.3747178933
231	0.3747028908
232	0.3746854724
233	0.3746818563
234	0.3746515982
235	0.3746184059
236	0.3744774404
237	0.3744739113
238	0.3744413193
239	0.374404146
240	0.3743653223
241	0.3743437892
242	0.3742751335
243	0.374254893
244	0.3742065324
245	0.374152513
246	0.3741136643
247	0.3740237564
248	0.3739427731
249	0.3739115205
250	0.3738887227
251	0.3738674178
252	0.3738165023
253	0.3738127666
254	0.3738091629
255	0.3737426616
256	0.3737159009
257	0.3736771108
258	0.3736610483
259	0.3736289558
260	0.373615571
261	0.3735318167
262	0.3735271201
263	0.373471385
264	0.3734234096
265	0.37340824
266	0.3733614568
267	0.373335843
268	0.3733048954
269	0.373269457
270	0.3732207559
271	0.373172995
272	0.3731293031
273	0.3731203342
274	0.3731178412
275	0.3731145449
276	0.3730545513
277	0.3730390069
278	0.3730134111
279	0.3730067637
280	0.3730061503
281	0.3730019981
282	0.372991996
283	0.3729185524
