iter	Passed	Remaining
0	61	308385
1	67	168365
2	71	119510
3	76	95377
4	80	80147
5	83	69778
6	89	63903
7	95	59684
8	99	55373
9	104	52288
10	108	49395
11	113	47221
12	118	45471
13	123	43905
14	126	42144
15	131	40831
16	136	39928
17	141	39151
18	145	38233
19	150	37385
20	154	36656
21	158	35828
22	162	35112
23	167	34634
24	172	34416
25	176	33693
26	180	33173
27	182	32482
28	186	32030
29	190	31555
30	192	30890
31	194	30201
32	196	29555
33	198	28944
34	200	28446
35	202	27968
36	204	27465
37	206	26961
38	207	26410
39	209	25960
40	211	25526
41	212	25110
42	214	24710
43	216	24366
44	218	24017
45	220	23774
46	223	23565
47	225	23271
48	227	22968
49	229	22754
50	231	22493
51	233	22217
52	235	21978
53	237	21734
54	239	21519
55	240	21272
56	242	21048
57	244	20837
58	246	20613
59	248	20471
60	250	20300
61	252	20113
62	254	19940
63	256	19768
64	258	19590
65	259	19416
66	261	19273
67	263	19103
68	265	18957
69	266	18799
70	268	18660
71	270	18517
72	272	18378
73	274	18260
74	276	18135
75	277	17981
76	279	17869
77	281	17733
78	282	17620
79	284	17509
80	286	17399
81	288	17288
82	291	17266
83	293	17196
84	295	17094
85	297	17002
86	299	16935
87	301	16848
88	303	16742
89	305	16641
90	306	16551
91	308	16461
92	311	16433
93	313	16353
94	315	16288
95	317	16207
96	319	16129
97	320	16050
98	322	15977
99	324	15899
100	326	15827
101	328	15752
102	329	15674
103	331	15612
104	333	15545
105	335	15483
106	337	15413
107	338	15339
108	340	15274
109	342	15211
110	344	15182
111	348	15205
112	350	15146
113	351	15083
114	354	15057
115	356	14998
116	357	14939
117	359	14881
118	361	14823
119	363	14773
120	365	14749
121	368	14732
122	370	14694
123	373	14689
124	375	14661
125	377	14621
126	381	14621
127	383	14602
128	385	14559
129	388	14567
130	391	14539
131	393	14499
132	395	14477
133	398	14477
134	400	14436
135	402	14386
136	405	14403
137	407	14361
138	409	14318
139	411	14299
140	414	14301
141	416	14255
142	419	14251
143	422	14248
144	424	14209
145	427	14215
146	429	14192
